2025-05-13 15:04:50,178 INFO    MainThread:960700 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-05-13 15:04:50,179 INFO    MainThread:960700 [wandb_setup.py:_flush():68] Configure stats pid to 960700
2025-05-13 15:04:50,179 INFO    MainThread:960700 [wandb_setup.py:_flush():68] Loading settings from /home/lnavarro/.config/wandb/settings
2025-05-13 15:04:50,179 INFO    MainThread:960700 [wandb_setup.py:_flush():68] Loading settings from /home/lnavarro/tec/iap2/wandb/settings
2025-05-13 15:04:50,179 INFO    MainThread:960700 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-05-13 15:04:50,179 INFO    MainThread:960700 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/lnavarro/tec/iap2/wandb/run-20250513_150450-x1669k31/logs/debug.log
2025-05-13 15:04:50,179 INFO    MainThread:960700 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/lnavarro/tec/iap2/wandb/run-20250513_150450-x1669k31/logs/debug-internal.log
2025-05-13 15:04:50,179 INFO    MainThread:960700 [wandb_init.py:monkeypatch_ipython():643] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f501bc67d90>
2025-05-13 15:04:50,180 INFO    MainThread:960700 [wandb_init.py:init():852] calling init triggers
2025-05-13 15:04:50,180 INFO    MainThread:960700 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'epochs': 15, 'batch_size': 32, 'learning_rate': 7.5e-05, 'architecture': 'ResNet18Audio', 'input_size': '1x224x224', 'num_classes': 10, 'bilateral_filter': False, 'augmentation': False, '_wandb': {}}
2025-05-13 15:04:50,180 INFO    MainThread:960700 [wandb_init.py:init():893] starting backend
2025-05-13 15:04:50,180 INFO    MainThread:960700 [wandb_init.py:init():897] sending inform_init request
2025-05-13 15:04:50,186 INFO    MainThread:960700 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-13 15:04:50,186 INFO    MainThread:960700 [wandb_init.py:init():907] backend started and connected
2025-05-13 15:04:50,189 INFO    MainThread:960700 [wandb_run.py:_label_probe_notebook():1369] probe notebook
2025-05-13 15:04:50,190 INFO    MainThread:960700 [wandb_run.py:_label_probe_notebook():1379] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-05-13 15:04:50,190 INFO    MainThread:960700 [wandb_init.py:init():1002] updated telemetry
2025-05-13 15:04:50,278 INFO    MainThread:960700 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-05-13 15:04:51,078 INFO    MainThread:960700 [wandb_init.py:init():1101] starting run threads in backend
2025-05-13 15:04:51,323 INFO    MainThread:960700 [wandb_run.py:_console_start():2566] atexit reg
2025-05-13 15:04:51,323 INFO    MainThread:960700 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-05-13 15:04:51,323 INFO    MainThread:960700 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-05-13 15:04:51,323 INFO    MainThread:960700 [wandb_run.py:_redirect():2506] Redirects installed.
2025-05-13 15:04:51,329 INFO    MainThread:960700 [wandb_init.py:init():1147] run started, returning control to user process
2025-05-13 15:51:19,323 INFO    MainThread:960700 [wandb_init.py:_post_run_cell_hook():613] [no run ID] resuming backend
2025-05-13 16:47:08,582 INFO    MsgRouterThr:960700 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
